Old-kingdom,Old-phylum,Old-class,Old-order,Old-family,Old-genus,New-kingdom,New-phylum,New-class,New-order,New-family,New-genus
,,,,Cyclopteridae(cyclopt.),,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,
,,,,Clariidae,,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,
,,,,Cottidae(psychrolutidae),,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,
,,,,Melanocetidae,,Animalia,Chordata,Actinopterygii,Lophiiformes,Melanocetidae,
,,,,Clupeidaeengraulinae,,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,
Animalia,,,,Engraulididae,,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,
,,Myxini,,,,Animalia,Chordata,Myxini,,,
,,Actinopteri,,,,Animalia,Chordata,Actinopterygii,,,
Animalia,Chordata,Actinopteri,,,,Animalia,Chordata,Actinopterygii,,,
Animalia,,,,Chauliodontidae,,Animalia,Chordata,Actinopterygii,Stomiiformes,Chauliodontidae,
Animalia,Arthropoda,Crustacea,Macrura(nephropsidea),Nephropsidae,,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,
Animalia,Chordata,,,Muraenidae,,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,
Animalia,Chordata,,,Helogeneidae,,Animalia,Chordata,Actinopterygii,Siluriformes,Helogeneidae,
Animalia,Chordata,,,Torpedinidae,,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,
Animalia,Chordata,,,Hiodontidae,,Animalia,Chordata,Actinopterygii,Hiodontiformes,Hiodontidae,
Animalia,Chordata,,,Percopsidae,,Animalia,Chordata,Actinopterygii,Percopsiformes,Percopsidae,
,,Osteichthyes,Amiiformes,,,Animalia,Chordata,Actinopterygii,Amiiformes,,
Animalia,Chordata,Osteichthyes,Amiiformes,,,Animalia,Chordata,Actinopterygii,Amiiformes,,
,,Osteichthyes,Crossopterygii,Panderichthyidae?,,Animalia,Chordata,Sarcopterygii,Crossopterygii,Panderichthyidae,
Animalia,Chordata,Osteichthyes,Crossopterygii,Panderichthyidae?,,Animalia,Chordata,Sarcopterygii,Crossopterygii,Panderichthyidae,
,,Osteichthyes,Ichthyodectiformes,,,Animalia,Chordata,Actinopterygii,Ichthyodectiformes,,
,,Osteichthyes,Pachycormiformes,,,Animalia,Chordata,Actinopterygii,Pachycormiformes,,
Animalia,Chordata,Osteichthyes,Ichthyodectiformes,,,Animalia,Chordata,Actinopterygii,Ichthyodectiformes,,
Animalia,Chordata,Osteichthyes,Pachycormiformes,,,Animalia,Chordata,Actinopterygii,Pachycormiformes,,
Animalia,Chordata,Elasmobranchii,,,,Animalia,Chordata,Chondrichthyes,,,
Animalia,Chordata,Osteichthys,,,,Animalia,Chordata,Actinopterygii,,,
Animalia,Chordata,Reptilia,Testudines,,,Animalia,Chordata,Reptilia,Testudines (and fossil outgroups),,
Animalia,Chordata,Reptilia,Testudinata,Pelomedusidae,,Animalia,Chordata,Reptilia,Testudines (and fossil outgroups),Pelomedusidae,
Animalia,Chordata,Reptilia,Testudinata,,,Animalia,Chordata,Reptilia,Testudines (and fossil outgroups),,
Animalia,Chordata,Reptilia,Eosuchia,Parasuchidae,,Animalia,Chordata,Reptilia,Phytosauria,Parasuchidae,
Animalia,Chordata,Reptilia,Eosuchia,,,Animalia,Chordata,Reptilia,Younginiformes,,
Animalia,Chordata,Mammalia,,Sudamericidae,,Animalia,Chordata,Mammalia,Gondwanatheria,Sudamericidae,
Animalia,Chordata,Mammalia,,,Widanelfarasia,Animalia,Chordata,Mammalia,Afrosoricida,,Widanelfarasia
Animalia,Chordata,Mammalia,,Ptolemaiidae,,Animalia,Chordata,Mammalia,Ptolemaiida,Ptolemaiidae,
Animalia,Chordata,Mammalia,Insectivora,Apatemyidae,,Animalia,Chordata,Mammalia,Cimolesta,Apatemyidae,
Animalia,Chordata,Mammalia,Insectivora,Dormaaliidae,,Animalia,Chordata,Mammalia,Eulipotyphla,Dormaaliidae,
Animalia,Chordata,Mammalia,Rodentia,,Texomys,Animalia,Chordata,Mammalia,Rodentia,Jimomyidae,Texomys
Animalia,Chordata,Mammalia,Unplaced,,,Animalia,Chordata,Mammalia,Didelphimorphia,,
Animalia,Chordata,Mammalia,Primates,,Afradapis,Animalia,Chordata,Mammalia,Primates,Adapidae,Afradapis
Animalia,Chordata,Mammalia,Primates,,Karanisia,Animalia,Chordata,Mammalia,Primates,Galagidae,Karanisia
Animalia,Chordata,Mammalia,Primates,,Equatorius,Animalia,Chordata,Mammalia,Primates,Hominidae,Equatorius
Animalia,Chordata,Mammalia,Primates,,Arsinoea,Animalia,Chordata,Mammalia,Primates,Parapithecidae,Arsinoea
Animalia,Chordata,Mammalia,Primates,,Masradapis,Animalia,Chordata,Mammalia,Primates,Adapidae,Masradapis
Animalia,Chordata,Mammalia,Primates,,Plesiopithecus,Animalia,Chordata,Mammalia,Primates,Daubentoniidae,Plesiopithecus
Animalia,Chordata,Mammalia,Primates,Adapidae,Donrussellia,Animalia,Chordata,Mammalia,Primates,Cercamoniidae,Donrussellia
Animalia,Chordata,Mammalia,Primates,Adapidae,Anchomomys,Animalia,Chordata,Mammalia,Primates,Cercamoniidae,Anchomomys
Animalia,Chordata,Mammalia,Primates,Adapidae,Microchoerus,Animalia,Chordata,Mammalia,Primates,Omomyidae,Microchoerus
Animalia,Chordata,Mammalia,Primates,Adapidae,Notharctus,Animalia,Chordata,Mammalia,Primates,Notharctidae,Notharctus
